Project,Monitoring Season,Site,Date,Time,Temp C,Specific Cond µS/cm,DO %,DO mg/L,pH,Turbidity FNU,Depth m,Battery V
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/13/2020,20:00:00,4.724,435,100.5,12.91,8.86,22.84,0.645,6.11
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/13/2020,22:00:14,4.301,438.5,96.9,12.58,8.78,20.73,0.64,6.11
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/14/2020,0:00:00,4.109,435.2,91,11.88,8.71,21.71,0.624,6.11
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/14/2020,2:00:00,3.86,438.2,89.2,11.72,8.67,21.53,0.621,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/14/2020,4:00:00,3.401,444.4,89,11.83,8.67,20.48,0.618,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/14/2020,6:00:00,3.59,439.7,84.2,11.14,8.61,22.7,0.631,6.11
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/14/2020,8:00:00,3.591,441.4,84,11.11,8.6,22.17,0.642,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/14/2020,10:00:00,2.863,440.6,85.5,11.53,8.64,21.03,0.654,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/14/2020,12:00:00,3.466,437.9,99.8,13.25,8.85,20.2,0.637,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/14/2020,14:00:07,3.9,440.5,105,13.78,8.87,19.51,0.619,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/14/2020,16:00:00,4.031,438.8,110.3,14.43,8.93,19.17,0.607,6.11
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/14/2020,18:00:00,3.809,449,113.1,14.88,8.94,17.53,0.591,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/14/2020,20:00:05,3.605,446.4,111.4,14.74,8.94,17.19,0.577,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/14/2020,22:00:00,2.993,440.7,100.4,13.49,8.85,19.24,0.553,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/15/2020,0:00:00,2.592,443.3,98.4,13.37,8.85,18.5,0.532,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/15/2020,2:00:00,2.435,442.6,97.3,13.28,8.83,17.23,0.519,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/15/2020,4:00:00,2.193,444.1,96,13.19,8.82,17.18,0.49,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/15/2020,6:00:00,1.495,445.5,92.9,13.02,8.77,17.09,0.476,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/15/2020,8:00:00,1.822,447.1,90.8,12.6,8.76,60.43,0.456,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/15/2020,10:00:00,1.974,446.5,94.8,13.1,8.81,17.6,0.444,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/15/2020,12:00:00,2.25,444.7,100.5,13.78,8.88,16.8,0.42,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/15/2020,14:00:00,2.65,445.8,106.3,14.43,8.91,15.5,0.409,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/15/2020,16:00:00,2.929,445.5,108.7,14.64,8.91,17.15,0.392,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/15/2020,18:00:00,2.786,444.4,109.9,14.86,8.95,17.3,0.365,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/15/2020,20:00:00,2.828,444.3,108.9,14.71,8.93,16.72,0.347,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/15/2020,22:00:00,2.96,444.4,107.7,14.5,8.91,16.39,0.331,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/16/2020,0:00:00,3.249,446.5,103.7,13.84,8.85,16.56,0.315,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/16/2020,2:00:00,3.383,446.7,102.9,13.69,8.81,15.79,0.305,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/16/2020,4:00:07,3.488,448.4,100.3,13.31,8.81,15.52,0.295,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/16/2020,6:00:00,3.526,448.6,97.3,12.9,8.76,15.33,0.296,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/16/2020,8:00:00,3.531,452.1,91.2,12.09,8.68,18.49,0.297,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/16/2020,10:00:00,3.857,454.3,84,11.04,8.48,15.08,0.304,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/16/2020,12:00:00,4.362,458,92.7,12.02,8.63,16.36,0.295,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/16/2020,14:00:00,4.574,457.3,117.7,15.18,8.89,15.1,0.291,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/16/2020,16:00:00,4.489,452,119.5,15.44,8.94,14.51,0.302,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/16/2020,18:00:00,4.272,453.4,121.3,15.77,8.95,14.7,0.317,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/16/2020,20:00:00,4.291,455.7,122.5,15.91,8.94,14.04,0.321,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/16/2020,22:00:00,4.202,459.2,119,15.5,8.92,15.61,0.328,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/17/2020,0:00:00,4.062,461,115.4,15.08,8.88,13.99,0.335,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/17/2020,2:00:00,3.855,463.3,113.5,14.92,8.88,13.78,0.329,6.1
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/17/2020,4:00:00,3.618,467,113.5,15.01,8.87,14.2,0.33,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/17/2020,6:00:00,3.644,468.8,112.8,14.9,8.85,13.99,0.334,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/17/2020,8:00:00,3.719,468.9,110.3,14.55,8.83,12.96,0.342,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/17/2020,10:00:00,3.904,468.6,110.2,14.47,8.8,13,0.349,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/17/2020,12:00:00,4.241,468.5,114.1,14.85,8.85,13.38,0.338,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/17/2020,14:00:08,4.009,469.5,126.3,16.53,8.95,13.07,0.341,6.07
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/17/2020,16:00:00,4.105,467.6,130.9,17.09,8.99,13.08,0.36,6.09
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/17/2020,18:00:00,4.408,471.6,125,16.19,8.92,14.51,0.372,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/17/2020,20:00:47,4.375,472.7,122.7,15.9,8.91,11.29,0.378,6.07
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/17/2020,22:00:22,4.365,472.8,119.5,15.5,8.89,14.26,0.386,6.06
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/18/2020,0:00:00,4.394,473.6,119.5,15.48,8.87,14.22,0.392,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/18/2020,2:00:06,4.346,472.8,118.7,15.4,8.86,13.08,0.396,6.08
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/18/2020,4:00:00,4.207,473.3,116,15.1,8.84,14.17,0.398,6.07
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/18/2020,6:00:00,3.95,471.6,117.5,15.4,8.88,13.44,0.402,6.07
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/18/2020,8:00:00,3.849,471,117.6,15.45,8.88,14.68,0.396,6.06
Quincy Bay,Winter 2020-2021,W-M329.5Y,12/18/2020,10:00:00,3.926,471.1,123.3,16.18,8.92,12.24,0.392,6.06
